word,explanation,example_sentence
a,"【冠詞】《oneの弱い意味で》一つの / 《~ certain》ある / 《同種類のものを代表してany, eachの弱い意味で》…というものは / 《単位を表す語につけて》…につき",I need a pen to write a letter.
a.m./A.M./am/AM,《時間を表す数字の後につける》『午前』(ラテン語ante meridiemの略),I usually wake up at 6 a.m.
about,"《時を表す名詞を伴って》だいたい…ころに(《話》[[around]])  / 周囲に(《米》[[around]])  / 《英》あちこちに,点々と(《米》[[around]])  / 《英》あたりに(《米》[[around]])  / 《しばしば数詞と共に用いて》およそ,約 / ぐるっと回って,反対の位置(方向)に(《米》[[around]]) / 順番に,交互に",I will arrive at the station at about 7 o'clock.
about,"…について,に関して  / 《英》…の回りに(を),の周囲を(で)(《米》[[around]])  / 《英》…のあちこちに(で,を),に点々と(《米》[[around]])  / 《英》…のあたりに(を),の近くに([[near]])(《米》[[around]])  / …の身の回りに,を手もとに  / …の身辺に,のどこかに  / …に従事して,にかかわって",I am writing a report about the environmental issues.
above,"上方に, 上方を / 真上に, 頭上に高く / 上流に / 天に,空に / (特に地位において)高位に / (本・ページの)前に,前文に",She lives on the floor above.
above,"《方向》《fly,goなどの移動を表す動詞と結びついて》…の上方へ,より高いところへ / 《場所・位置》…の上に,の上方に さらに高いところに(の)  の上流に(で), の北方に,のもっと先に, もっと遠くに / 《数・量・程度》…以上に,にまさって / 《be動詞と結びついて》…の力の及ばない,を越えて([[beyond]])",The bird flew above the trees.
action,"〈U〉行動, 活動, 精力的な活動 / 〈C〉行為, 行い, 《複数形で》日常の行動, ふるまい / 〈U〉(機械などの) 働き, 機能 / (薬・化学薬品などの) 作用",Your action has consequences.
activity,"〈U〉活動,働き;活力  / 《しばしば複数形で》(種々の)活動,行事;(学生の)学内(外)活動,クラブ活動  / 〈U〉(商況・市場などの)活発,活気",The activity at the park was lively and fun.
actor,"(男の)俳優,男優  / 行為者",Tom Hanks is a renowned actor in Hollywood.
add,"【他】〈二つ以上のもの〉を合計する《up, together》 / 《…に》…を加える《to , and ...》 / 《 〜 that節》…とつけ加える / 【自】足し算をする,加える",Please add up the total cost of these items.
address,"〈C〉あて名,住所 / 〈C〉演説, (口頭・文書による)あいさつの言葉([[speech]]) / 《文》〈U〉話しぶり,応対のしかた / 〈U〉(物事を扱う)手ぎわのよさ,如才なさ / 《複数形で》くどき,求愛,求婚",Please write your address on the envelope.
afraid,"《...を》恐れて,こわがって《of ...》  / 気づかって,心配して  / 気が進まない",I am afraid of spiders.
after,"《時・順序》…の後に,…後に, …の次に  / …を求めて,の後を追って  / …の名をとって,にならって, …ふうに(の)  / …のことを心配して,に関して  / …だから,…の結果",I usually go for a walk after dinner.
afternoon,午後(正午から日没まで) / 《形容詞的に》午後の,I usually take a walk in the park in the afternoon.
again,"再び,もう一度([[once more]]) / 《否定語とともに用いて》二度と(…しない)  / また元の所へ,元のように  / さらにそれだけ,…の倍も  / 《しばしば[[then]], [[and then]]に続いて》その上に([[besides]]),さらに([[furthermore]])  / 《しばしばand, and thenに続いて》また一方,ところが",I will try again tomorrow.
